id,name,sku,category_reference,tax_group_reference,is_sold_by_weight,is_active,is_stock_product,price,cost,barcode,description,preparation_time,calories,walking_minutes_to_burn_calories,is_high_salt,image,name_localized,description_localized
97e45442-1c3b-4b3e-a57c-434d9d7343d6,"Nuggets Chicken",psk-046,cat-08,tx1,No,Yes,No,0,,,"Chicken, garlic, onions, salt, paprika, bread crumbs, kees, black pepper, lemon juice",,305,,No,,"ناجتس دجاج","دجاج ، ثوم ، بصل ، ملح ، بابريكا ، فتات الخبز ، كيس ، فلفل أسود ، عصير ليمون"
97e45442-1dc4-4cd8-8068-0d8e8f78021b,"Spinach Chicken",psk-043,cat-08,tx1,No,Yes,No,0,,,"Chicken balls mixed with spinach tomato sauce",,221,,No,,"دجاج مع سبانخ","كرات الدجاج مع صلصة الطماطم والسبانخ"
97e45442-2252-43cf-b65f-8c0ffeebdd1e,"Salmon Dill Sauce",psk-053,cat-10,tx1,No,Yes,No,0,,,"Salt, pepper, paprika, lemon, dill sauce",,200,,No,,"سلمون مشوي بصوص الشبت","ملح ، فلفل ، بابريكا ، ليمون ، صوص شبت"
97e45442-2322-4386-9409-5a3f3a598b98,"Fish Curry",psk-056,cat-11,tx1,No,Yes,No,0,,,"Minced fish, grounded breadm lemon juice, garlic, onion, curry spices, cinnamon, butter, cream, fenugreek, dill green",,303,,No,,"سمك كاري","سمك مفروم ، عصير ليمون ، ثوم ، بصل ،كزبرة، ملح، كمون، طماطم، توابل كاري، زبدة ، كريمة ، حلبة ، شبت أخضر"
97e45442-2733-4d97-8d17-2b3864f98edb,"Dill Fish",psk-055,cat-11,tx1,No,Yes,No,0,,,"Fish, lemon juice, garlic, onion, coriander, green dill, salt, white pepper, cream",,260,,No,,"سمك الشبت","سمك ، عصير ليمون ، ثوم ، بصل ، كزبرة خضرة ، شبت أخضر ، ملح ، كمون، فلفل أبيض ، كريمة"
97e45442-2caf-47bb-b420-20211002980a,"Salmon with Avocado",psk-057,cat-11,tx1,No,Yes,No,0,,,"Cajun style marinated grilled samon served with healthy slice avocado and choice of sauce",,226,,No,,"سلمون بالأفوكادو","سلمون متبل مشوي على الطريقة الكاجونة يقدم مع شريحة أفوكادو صحية واختيار صلصة"
97e45442-48a9-4a0a-8ae5-4cce9f815acf,"Salmon Gasheed",psk-058,cat-11,tx1,No,Yes,No,0,,,"Onion, dry lemon, arabic spices, green coriander",,439,,No,,"سلمون قشيد","بصل ، ليمون دراي، بهارات عربية ، كزبرة خضراء"
97e45442-5e01-47bd-9e2c-25e4cf7ec5dd,"Salmon Dill Sauce",psk-059,cat-11,tx1,No,Yes,No,0,,,"Salt, pepper, paprika, lemon, dill sauce",,200,,No,,"سلمون مشوي بصوص الشبت","ملح ، فلفل ، بابريكا ، ليمون ، صوص شبت"
97e45442-6b4c-4a9f-91b4-6e65ef825c13,"Salmon Sushi",psk-060,cat-09,tx1,No,Yes,No,30,,,"Salmon fullet, spring onion, lemon, sushi rice, ginger, bay leaves, soya sauce, rice vinegar",,73,,No,,"سلمون سوشي","فيليه سلمون، بصل أخضر ، ليمون ، أرز سوشي ، زنجبيل ، ورق غار ، صويا صوص، خل الأرز"
97e45442-900b-4a89-baae-84bd9b8e9523,"Chicken Sushi",psk-061,cat-09,tx1,No,Yes,No,26,,,"Chicken breast, sushi rice, sesame seed, ketchup, BBQ sauce, onion powder, hot sauce siracha, lemon, bread crumbs, rice vinegar",,82,,No,,"سوشي الدجاج","صدر دجاج ، أرز سوشي ، بذور سمسم ، كاتشب ، صوص باربيكيو ، بصل بودرة، صلصة حارة سيراشا ، ليمون ، فتات الخبز ، خل الاأرز"
97e45442-9199-47b6-b351-ea5d991ef986,"Dynamite Shrimp",psk-062,cat-09,tx1,Yes,Yes,No,0,,,"Healthy style dynamite shrimp coat with dynamite sauce served with iceberg lettuce",,20,,No,,"روبيان ديناميت","روبيان ديناميت صحي مع صلصة ديناميت يقدم مع خس ايسبيرج"
97e45442-9a1c-49dd-a935-327a32b9ceaf,"B.B.Q Shrimp",psk-063,cat-09,tx1,Yes,Yes,No,0,,,"Marinated shrimp mix with homemade BBQ sauce",,92,,No,,"روبيان بالباربيكيو","روبيان منقوع و متبل مع صوص باربيكيو"
97e45442-a0c4-49f6-80a0-75c1c05a0df5,Oats,psk-065,cat-12,tx1,No,Yes,No,0,,,"Pudding. chocolate, strawberry, banana, apple",,334,,No,,شوفان,"بودنغ. شوكولاتة ، فراولة ، موز ، تفاح"
97e45442-a3fa-4c2a-adf2-4db71d5e45c2,"Cacciatore Shrimp",psk-064,cat-09,tx1,Yes,Yes,No,0,,,"Shrimp cooked with herbs, tomato sauce, sweet pepper and cheese",,22,,No,,"روبيان كاشياتوري","روبيان مطبوخ مع الأعشاب وصوص الطماطم والفلفل الحلو والجبنة"
97e45442-af07-415c-805c-5f3f7b27b7a0,"Apple Juice",psk-071,cat-13,tx1,No,Yes,No,16,,,,,,,No,,تفاح,
97e45442-b0d6-4284-9963-2a2d63e57ee8,"Orange Juice",psk-070,cat-13,tx1,No,Yes,No,16,,,,,,,No,,برتقال,
97e45442-b154-4e2d-ba05-59d6aac90ccb,"Mashed Potato",psk-068,cat-12,tx1,No,Yes,No,0,,,"Salt. pepper, steamed",,92,,No,,"بطاطا مهروسة","ملح. فلفل مطهو على البخار"
97e45442-b208-4c3c-a656-04d64dcbd066,"Basmati Rice",psk-066,cat-12,tx1,Yes,Yes,No,0,,,"White, brown, broccoli, saffron, biryani, mix veg",,137,,No,,"أرز بسمتي","أبيض ، بني ، بروكلي ، زعفران ، برياني ، خضار مشكلة"
97e45442-b209-4bcb-be79-cc7ad0b05dee,"Roasted Potato",psk-067,cat-12,tx1,No,Yes,No,0,,,"Salt, herbs, garlic, pepper, paprika",,152,,No,,"بطاطا محمصة","ملح ، أعشاب ، ثوم ، فلفل ، بابريكا"
97e45442-b5da-45e6-acbb-422afc4b3486,"Carrot Juice",psk-072,cat-13,tx1,No,Yes,No,16,,,,,,,No,,جزر,
97e45442-b645-436e-826c-c1819e5fd543,"Sweet Potato",psk-069,cat-12,tx1,No,Yes,No,0,,,"Steamed, Mashed, Roasted",,87,,No,,"بطاطا حلوة","مطهو على البخار ، مهروس ، محمص"
97e45442-be34-4ccc-81d3-df896f885d36,"Biryani Chicken",psk-076,cat-14,tx1,No,Yes,No,40,,,"Chicken breasts cooked with indian masala and basmati rice",,353,,No,,"برياني دجاج","صدور دجاج مطبوخة مع الماسالا الهندية والأرز بسمتي"
97e45442-c4a0-4da9-af84-5b1e6f88a41d,BCAA,psk-073,cat-13,tx1,No,Yes,No,11,,,,,,,No,,"بي سي اي اي",
